Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2004,1,N/A,The association between termites and the cellulose-digesting protozoans in their guts is an example of,commensalism,saprophytism,mutualism,parasitism,C,biology,Jamb
2004,2,N/A,A state in Nigeria that is most susceptible to desert encroachment is,Katsina,Kaduna,Taraba,Kwara,A,biology,Jamb
2004,3,N/A,A farm practice that results in the loss of soil fertility is,bush fallowing,mixed farming,continuous cropping,shifting cultivation,C,biology,Jamb
2004,4,diag_2004_q4_5.png,High relative humidity will be expected in zones,II and IV,II and III,I and III,I and IV,B,biology,Jamb
2004,5,diag_2004_q4_5.png,Which of the zones is likely to be a desert?,III,IV,II,I,D,biology,Jamb
2004,6,N/A,The scarcity of food causes a sudden decrease in population size by,raising the mortality rate,minimizing the rate of competition,decreasing the reproductive rate,bringing about immigration,A,biology,Jamb
2004,7,N/A,The progressive loss of energy at each level in a food chain leads to,an increase in the number of organisms at each successive level,an increase in the total weight of living matter at each successive level,a decrease in biomass at each successive level,an increase in biomass at each successive level,C,biology,Jamb
2004,8,N/A,A caterpillar and an aphid living in different parts of the same plant can be said to,be in similar micro habitats,occupy the same ecological niche,be in different habitats,occupy different ecological niches,D,biology,Jamb
2004,9,N/A,The soil type that will be most difficult to plough in a wet season is one that is,silty,sandy,clayey,loamy,C,biology,Jamb
2004,10,N/A,One adaptation of reptiles to water loss is the presence of,claws on limbs,keratinous scales,long sticky tongues,long tails,B,biology,Jamb
2004,11,N/A,Rodents gnaw on food with their,chisel-like front teeth,molar teeth,strong jaws,flat-ridged teeth,A,biology,Jamb
2004,12,N/A,An evidence of the relationship between living organisms and their extinct relatives can best be obtained from,comparative physiology,embryology,palaeontology,comparative anatomy,C,biology,Jamb
2004,13,N/A,Which of the following is an example of intraspecific competition?,Yam and potato shoots growing out through the same window.,A hawk and an eagle targeting the same chicken.,A lizard and an ant-eater chasing an insect.,A worker termite and a soldier in a limited space.,D,biology,Jamb
2004,14,N/A,The spots and stripes of the leopard and tiger are examples of,countershading,disruptive colouration,warning colouration,cryptic colouration,B,biology,Jamb
2004,15,N/A,Plants survive hot dry conditions by,producing numerous leaves,having evergreen leaves,storing water in large parenchyma cells,having numerous stomata,C,biology,Jamb
2004,16,N/A,In a Mendelian cross of red and white varieties of the four o'clock plant, the F1 generation expresses incomplete dominance by having flowers which are,multicoloured,white,red,pink,biology,Jamb
2004,17,N/A,Sex-linked genes are located on,X-chromosome,homologous chromosomes,X-and Y-chromosomes,Y chromosome,A,biology,Jamb
2004,18,N/A,Paternity disputes can most accurately be resolved through the use of,blood group typing,finger printing,tongue-rolling,DNA analysis,D,biology,Jamb
2004,19,N/A,Identical twins inherit their genes from,the same egg and sperm,one egg and two sperms,different eggs and sperms,two eggs and a sperm,A,biology,Jamb
2004,20,N/A,The eggs of birds contain relatively larger quantities of yolk than those of amphibians and reptiles because,birds lay shelled eggs,birds are generally bigger in size,embryonic development is longer in birds,those of birds are fertilized internally,C,biology,Jamb
2004,21,N/A,The surface of an alveolus in a mammal is well supplied with tiny blood vessels known as,arteries,capillaries,venules,arterioles,B,biology,Jamb
2004,22,N/A,The two key cations involved in the action potential of nervous transmissions are,Na+ and K+,Na+ and Fe2+,Fe2+ and Mg2+,Mg2+ and K+,A,biology,Jamb
2004,23,N/A,The gall bladder of a mammal has a duct connected to the,small intestine,pancreas,duodenum,liver,C,biology,Jamb
2004,24,diag_2004_q24_25.png,Which of the following results is to be expected if the set-up is left for several hours?,Movement of water from the salt solution into the yam.,Decrease in the volume of water inside the yam.,Decrease in the size of the yam.,Movement of the salt solution into the water.,B,biology,Jamb
2004,25,diag_2004_q24_25.png,Yam is used in this set-up because it,is a plant material,acts as a storage organ,acts as a semi permeable membrane,is permeable to the salt solution,C,biology,Jamb
2004,26,N/A,The opening of the stoma is controlled by the,presence of guard cells,decrease in solute concentration in the guard cells,presence of a pore,increase in solute concentration in the guard cells,D,biology,Jamb
2004,27,N/A,The type of reproduction that is common to both Hydra and yeast is,budding,grafting,binary fission,conjugation,A,biology,Jamb
2004,28,N/A,If a nursing mother is not producing enough milk, her hormonal system is probably deficient in,insulin,thyroxin,prolactiri,testosterone,biology,Jamb
2004,29,diag_2004_q29_30.png,The sweat gland is the structure labelled,III,IV,II,I,B,biology,Jamb
2004,30,diag_2004_q29_30.png,The function of the part labelled III is to,conduct nervous impulses,contract to pull the hair erect,produce oil for the skin,carry blood and nitrogenous waste,D,biology,Jamb
2004,31,N/A,Nervous control differs from hormonal control in that the former,produces short-term changes,has no specific pathway,involves only chemical transmission,is a slower process,A,biology,Jamb
