Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2020,1,Midsummer Night's Dream is what type of play?,tragedy,farce,comedy,tragic-comedy,C,english,Jamb
2020,2,One of the following terms applies to the discussion of both tragedy and comedy.,climax,happy ending,tragic hero,alliteration,A,english,Jamb
2020,3,Maya Angelou's Caged Bird is referred to as an allegory because,it teaches moral,it is a fable,it is metaphorical,it is a short poem,B,english,Jamb
2020,4,Why did Nii in Unexpected Joy at Dawn decide to come back to Nigeria?,he has missed home,he is the only son,He was offered a job,he came to rejig his life,D,english,Jamb
2020,5,The dominant feeling in Leopold Sedar Senghor's Black Woman is,joy and satisfaction,nostalgia,sadness and hatred,despair,A,english,Jamb
2020,6,A play is drama because,it is written in verse,it can be acted on stage,it contains characters,it does not contain any story,B,english,Jamb
2020,7,"In D.H. Lawrence's BAT, the line 'hang themselves up like an old rag' indicates the poet's",love,hatred,kindness,acceptance,B,english,Jamb
2020,8,"In Adah's view, the white society in the novel is one in which",there is communal feeling,neighbourliness is lacking,neighbours live happily,members are unfriendly,D,english,Jamb
2020,9,"To raise the readers anxiety about the story, the author sometimes",stops the main story to narrate other events,creates a lot of funny episodes,puts too many difficulties in Adah's way,shows that Francis is weak,B,english,Jamb
2020,10,Why did Catherine refuse to marry Heathcliff?,Heathcliff is of a low class,Heathcliff is blind,Heathcliff is not educated,Heathcliff is her cousin,A,english,Jamb
2020,11,"I could not picture a father treating a dying child as tyrannically and wickedly as I afterwards learnt Heathcliff had treated him, who said this?",Edgar Linton,Hindley,Heathcliff,Nelly,D,english,Jamb
2020,12,One of the universal themes of the novel (Wuthering Heights) is,vengeance,property and inheritance,religious hypocrisy,marriage,A,english,Jamb
2020,13,The theme of a literary work is the,dominant pre-occupation of the work,interesting issues raised in the work,different views on a particular topic,psychological issues in the work,A,english,Jamb
2020,14,The use of first person singular in the book indicates,omniscient point of view,flash back narrative technique,foreshadowing narrative technique,participant point of view,D,english,Jamb
2020,15,Invisible man refers directly to the identity of which character?,The narrator,Dr. Bledsoe,the protagonist,Norton,C,english,Jamb
2020,16,What do the gold coins the boys must scramble for at the battle royal turnout to be?,chocolate candies,wooden coins,brass pocket token,pennies,C,english,Jamb
2020,17,Where is the narrator asked to give his high school graduation speech?,Town hall,Leading men's fraternity,Town's most expensive restaurant,Ballroom of the leading hotel,B,english,Jamb
2020,18,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,his friend,D,english,Jamb
2020,19,Whose words 'keep the Nigger boy running'?,Tatlock,His father,his grandfather,Mr. Norton,C,english,Jamb
2020,20,What is the name of the brothel/gambling joint to which the narrator brings Mr. Norton?,Golden Day,Golden Hour,Happy Day,Halley's place,A,english,Jamb
2020,21,The author's thematic concern is,overcoming deception to reach the truth,the ability to rise above defeat,relationship between the blacks and whites,actualising one's dreams,A,english,Jamb
2020,22,"""Ay me, for aught that I could ever read, Could ever hear by tale or history, The course of true love Never did run smooth"" The image in the quotation above depicts the speaker's",hatred,desperation,love,disregard,B,english,Jamb
2020,23,"""Lord, what fools these mortals be!"" In the line above, the character is",expressing the behaviour of the lovers,expressing the love between two lovers,expressing the exaggerated silliness of the lovers behaviour,expressing the gift of God in their lives,C,english,Jamb
2020,24,The traditional verse form of speech as dialogue in Midsummer Night's Dream is used to symbolize the,impressiveness of the characters,intense feelings of the characters,traditionality of the play,function of poetry in the play,B,english,Jamb
2020,25,"""Hippolyta, I woo'd thee with my sword And won thy love doing thee injuries, But I will wed thee in another key..."" Duke's statement above the Hippolyta means that he",make trouble to see Hippolyta,jump the fence to see Hippolyta,should be injured by Hippolyta,will win the love of Hippolyta,D,english,Jamb
2020,26,A Midsummer Night's Dream is preoccupied with the juxtaposition of,death and disappointment,love and hate,appearance and reality,love and death,B,english,Jamb
2020,27,In Augustino Neto's The Grieved Lands dramatic and emotive intensity is derived from the employment of,repetition,double rhymes,assonance,rhymes,A,english,Jamb
2020,28,What is the central theme in Niyi Osadare's The Leader and the Led?,power tussle,hypocrisy,leadership,followership,A,english,Jamb
2020,29,The rhyming pattern in the last stanza of Lade Wosornu's Raider of the Treasure Trove makes the stanza,an octave,a quatrain,a couplet,a sestet,C,english,Jamb
2020,30,The theme of beauty and strength in 'Black Woman' by Leopold Sedar Senghor's is a,dramatic poem,narrative poem,short poem,negritude poem,D,english,Jamb
2020,31,Oumar Farouk Sesay's 'The Song of the Women of my Land' portrays a society that is,tough with women in olden days African society,hunted by the evil land,gripped with fear,unstable,A,english,Jamb
2020,32,"In 'Raider of the Treasure Trove' by Lade Wosornu, 'the gems of your dreams' in line 2, the poet is describing the",the cost of anger in man's life,homily to eschew anger,the value of life,a man's purpose being the reason for his life,D,english,Jamb
2020,33,"From the tone of Onu Kingsley Chibuike's 'A Government Driver on his Retirement', words such as 'booze', 'boomed' make it",happy,sorrowful,indifferent,joyful,B,english,Jamb
2020,34,The most important concepts in poetry are,strong and action,plot and rhythm,rhythm and imagery,plot and character,C,english,Jamb
2020,35,The literary device which anticipates that an event will take place is best described as,foreshadowing,rising action,flashback,parody,A,english,Jamb
2020,36,The flat character in a literary work,is the same as the round character,cannot be found in an allegory,is capable of growing,always embodies quality,D,english,Jamb
2020,37,The overwhelming pride that destroys the tragic hero is called,tragedy,nemesis,catharsis,hubris,D,english,Jamb
2020,38,A farce refers to a drama that has elements of the,serious,satiric,comic,tragic,C,english,Jamb
2020,39,Catharsis is experienced,after one has written a play,when a play is still being staged,before watching a play,after watching a play,B,english,Jamb
2020,40,An extended fictional narrative which is realistic is known as a,diary,novel,novella,short story,B,english,Jamb
