Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2000,10,The gas occupying the space labelled I is,carbon (IV) oxide,nitrogen,oxygen,hydrogen,C,biology,Jamb
2000,11,The substance labelled Il originates from,III and IV,I and IV,IV only,Ill only,D,biology,Jamb
2000,12,The greatest amount of energy will be obtained by the oxidation of 100kg of,meat,biscuits,sugar,butter,D,biology,Jamb
2000,13,Bacteria in the large intestine of man are important in the,digestion of vegetables,synthesis of Vitamins K and B2,synthesis of vitamins A and D,absorption of water,B,biology,Jamb
2000,14,"The production of violet colouration, when dilute NaOH solution is added to a solution of food substance, followed by 1% CuSO4 solution while shaking indicates the presence of",fats,carbohydrates,protein,reducing sugar,C,biology,Jamb
2000,15,The chamber of the mammalian heart with the thickest wall is,the right ventricle,left ventricle,right auricle,left auricle,B,biology,Jamb
2000,16,Serum differs from blood plasma because it,contains blood cells and fibrinogen,contains soluble food and minerals salts,lacks blood cells and albumin,lacks blood protein and fibrinogen,A,biology,Jamb
2000,17,"In mammals, reabsorption of salt takes place in",I,II,III,IV,C,biology,Jamb
2000,18,The parts labelled I and 11 make up the,glomerulus,Bowman's capsule,Malphighian body,Convoluted tubules,C,biology,Jamb
2000,19,The scapula and the ischium are part of the,pectoral girdle,appendicular skeleton,pelvic girdle,hind limb,B,biology,Jamb
2000,20,The fruit represented is mainly dispersed by,animals,wind,water,birds,C,biology,Jamb
2000,21,The part labelled II is,endocarp,pericarp,mesocarp,epicarp,C,biology,Jamb
2000,22,"For growth to occur in organisms, the rate of",anabolism must exceed that of catabolism,catabolism must exceed that of anabolism,food storage must be low,food storage must be high,A,biology,Jamb
2000,23,The part of the brain that controls body posture in mammals is the,thalamus,cerebrum,spinal cord,cerebellum,D,biology,Jamb
2000,24,"The inner ear contains two main organs, namely the",eardrum and eustachian tube,oval window and ossicles,cochlea and semi-circular canals,pinna and cochlea,C,biology,Jamb
2000,25,Short-sightedness can be corrected by lenses which are,convex,concave,plano-convex,biconvex,B,biology,Jamb
2000,26,In which part of the human body does the secretion of the growth hormone occur?,gonads,waist region,neck region,head region,D,biology,Jamb
2000,27,Which of the following growth activities in plants is brought about by gibberellins?,rapid cell division,trophic response,main stem elongation,cell elongation,D,biology,Jamb
2000,28,The legs and beak of an egret resemble those of the heron because they,occupy similar niche,are both birds,both feed on fishes,occupy the same trophic level,C,biology,Jamb
2000,29,Which of the following are adaptations of animals to aquatic habitats?,"gills, scaly skin and lungs","lateral line, streamlined bodies and lungs","gills, streamlined bodies and lateral line","gills, streamlined bodies and spiracle",C,biology,Jamb
2000,30,The factors that determine the distribution of vegetation Zones are,"temperature, light, air and humidity","light, humidity, air and mist","temperature, light, rain and humidity","humidity, snow, frost and dew",C,biology,Jamb
2000,31,"In a food chain, each succeeding level in a forward direction represents",an increase in the number of individuals,an increase in the biomass of individuals,a decrease in the number of individuals,a gain in the total energy being transferred,C,biology,Jamb
2000,32,Atmospheric nitrogen is converted to soil nitrogen for plant use by,nitrification and combustion,putrefaction and lightning,combustion and putrefaction,lightning and nitrification,D,biology,Jamb
2000,33,Which of the following is an adaptation of forest species?,few stomata,thick bark,reduced leaves,buttress roots,B,biology,Jamb
2000,34,An ecological succession often leads to,an unstable community,a decrease in species diversity,an increase in species diversity,the dispersal of species,C,biology,Jamb
2000,35,1. High birth rate and high immigration rate II. Low birth rate and high Immigration rate III Low mortality rate and low emigration rate IV High mortality rate and high emigration rate. Which combination of the above can cause rapid overcrowding in climax biotic communities and human settlements?,II and III,I and IV,I and III,I and II,D,biology,Jamb
2000,36,The disaster that would have the least destructive impact on animal life and balance in nature is,chemical pollution,forest fires,grasshopper pests,oil spillage,C,biology,Jamb
2000,37,"In an experiment to estimate the volume of air in a soil sample using a measuring cylinder, it was found that initial volume of water = p cm3, Volume of soil before mixing with water = q cm3, Final volume of water after adding soil = r cm3. From the data above, which of the following deductions is correct?",r = p + q,r > p + q,r < p + q,q = r - p,D,biology,Jamb
2000,38,The range at which soil essential elements concentration is recorded for optimal plant growth is marked,I,II,III,IV,C,biology,Jamb
